"","user_id","session_id","timestamp","event_name","medium","bedrooms","bathrooms","price","offering_type","property_type_id","furnishings","market","listing_status","time_diff"
"28","00a382b1-e96d-4c16-8493-d69d79834a92","8d644d52-91db-4dc0-a2ee-d0152851a8cc","2018-11-21 13:31:45","lead_click","phone",3,4,2289000,"buy",1,"unfurnished","residential","featured",5.17165985806673
"29","00bfa96c-5a72-4818-9e18-748f7dca1187","b585c9d5-2e05-4bf8-aaff-cb8c55399df8","2018-11-21 09:39:30","lead_click","email",1,1,75000,"rent",1,"unfurnished","residential","premium",5.33294458028895
"30","00bfa96c-5a72-4818-9e18-748f7dca1187","b585c9d5-2e05-4bf8-aaff-cb8c55399df8","2018-11-21 09:42:34","lead_send","email",1,1,75000,"rent",1,"unfurnished","residential","premium",5.33081495065932
"31","00bfa96c-5a72-4818-9e18-748f7dca1187","b585c9d5-2e05-4bf8-aaff-cb8c55399df8","2018-11-21 09:42:54","lead_click","phone",1,1,75000,"rent",1,"unfurnished","residential","featured",5.33058346917784
"32","00bfa96c-5a72-4818-9e18-748f7dca1187","b585c9d5-2e05-4bf8-aaff-cb8c55399df8","2018-11-21 09:50:54","lead_click","phone",1,1,55000,"rent",1,"unfurnished","residential","standard",5.32502791362228
"33","00bfa96c-5a72-4818-9e18-748f7dca1187","b585c9d5-2e05-4bf8-aaff-cb8c55399df8","2018-11-21 10:03:19","lead_click","phone",1,1,45000,"rent",1,"unfurnished","residential","standard",5.3164052284371
"34","00e22377-b4dc-4292-8d3f-632ddcb2d6a6","bc6bdda4-b4a2-4d2e-bb0c-b96bbd396596","2018-11-21 19:49:32","lead_click","phone",2,2,900000,"buy",22,"unfurnished","residential","standard",4.90931032102969
"35","00fb45e4-256f-468f-ab25-b73f12227256","5971b985-3b5d-4ec5-a642-1477898b715d","2018-11-21 19:15:12","lead_click","phone",0,1,36000,"rent",1,"unfurnished","residential","standard",4.93315291362228
"36","0104de50-826f-4b3f-9fda-acade8edbbaa","98648028-1e43-46d4-9a83-52f4f6a2e9c0","2018-11-21 09:50:42","lead_click","phone",2,2,50000,"rent",1,"unfurnished","residential","featured",5.32516680251117
"37","0108575f-cf59-4d34-ab73-6a6a928bd462","6dd46d4a-1059-48e6-bcdf-644b0df9e8fd","2018-11-21 21:39:20","lead_click","phone",2,3,2500000,"buy",1,"part_furnished","residential","standard",4.83306032102969
"38","010c35e7-41b2-4261-b307-3bfaad44458d","6d09fc60-8caa-4d49-8a06-b32da4b62ec7","2018-11-21 14:26:30","lead_click","phone",3,4,90000,"rent",1,"unfurnished","residential","standard",5.13363902473339
"39","010ee259-5bbf-4fad-90d6-61da174794a9","4cff6647-57ca-4d8d-a609-564b7be6f413","2018-11-21 12:59:11","lead_click","phone",2,2,65000,"rent",1,"unfurnished","residential","premium",5.19427559880747
"40","010ee259-5bbf-4fad-90d6-61da174794a9","4cff6647-57ca-4d8d-a609-564b7be6f413","2018-11-21 12:59:45","lead_click","phone",3,4,1400000,"buy",22,"unfurnished","residential","premium",5.19388208028895
