domain_userid,domain_sessionid,event_id,timestamp,category,property_type_id,min_price,max_price,min_bedrooms,max_bedrooms,min_area,max_area,keywords,location,amenities,price_period,furnishings
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,c701ec76-c040-4b17-849b-7f89639efbe9,11/21/2018 11:45,buy,,,,,,,,marina wharf villas,[3162],[],,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,9d327da7-17a9-4c43-93ad-c81726e9b0a0,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,e50cc282-627a-4221-a0c5-236fc059af7f,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,7bb27de1-9efc-41ef-87df-34b7c91f7eab,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,462a74d5-f6e1-41ca-b603-bba8d2f4cb97,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,bd3df43e-d755-4420-97be-0aeae7888a05,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,250b1b04-772a-4dcd-a7b1-a13855f1e50f,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,34c23e75-91c0-4401-8ab8-565f543e1d8d,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,f18e1473-6f47-443d-baab-fa03265199ae,11/21/2018 10:19,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,f294d522-1751-402b-be67-e844e851c6f2,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,dc88bdbe-4d1a-4d56-9eb7-54439049c3a9,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,83529249-a72a-45ed-a7bf-8c8786e59ce9,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,514ace44-4a82-431d-8491-646f69c2d35c,11/21/2018 6:50,buy,1,,2100000,4,,,,,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,6ea5a6df-3add-44e6-bbfe-fa87b85a98b6,11/21/2018 6:50,buy,1,,2100000,4,,,,pet,[],[],,
000695fb-cfe4-4180-a357-76498e31756a,48b85a93-5899-43dd-a7c2-606637275050,fd7ea486-6662-4f02-af49-07805e3b5734,11/21/2018 6:48,buy,1,,2100000,4,,,,pets,[],[],,
